phase_id,display_name,start_time,time_minutes,direction,expected_pressure_level,data_type,source_data_type,assumption_note
pre_match,Pre-match,Before kickoff,-180,inbound,rising,derived,synthetic,Materialized from FinalFlow's illustrative mobility configuration; not an official event schedule.
gates_open,Gates open,Before kickoff,-120,inbound,rising,derived,synthetic,Materialized from FinalFlow's illustrative mobility configuration; not an official event schedule.
ceremony,Closing ceremony,Before kickoff,-30,inbound,high,derived,synthetic,Materialized from FinalFlow's illustrative mobility configuration; not an official event schedule.
kickoff,Kickoff,0',0,match,low,derived,synthetic,Materialized from FinalFlow's illustrative mobility configuration; not an official event schedule.
first_half,First half,0'-45',0,match,low,derived,synthetic,Materialized from FinalFlow's illustrative mobility configuration; not an official event schedule.
first_half_end,45',45',45,match,low,derived,synthetic,Materialized from FinalFlow's illustrative mobility configuration; not an official event schedule.
halftime,Halftime,45' clock paused,45,local,moderate,derived,synthetic,Materialized from FinalFlow's illustrative mobility configuration; not an official event schedule.
second_half,Second half,45'-90',60,match,low,derived,synthetic,Materialized from FinalFlow's illustrative mobility configuration; not an official event schedule.
regulation_end,90',90',105,match,low,derived,synthetic,Materialized from FinalFlow's illustrative mobility configuration; not an official event schedule.
extra_time,Extra time,90'-120',105,match,low,derived,synthetic,Materialized from FinalFlow's illustrative mobility configuration; not an official event schedule.
extra_time_end,120',120',135,match,low,derived,synthetic,Materialized from FinalFlow's illustrative mobility configuration; not an official event schedule.
final_whistle,Final whistle,120',135,outbound,high,derived,synthetic,Materialized from FinalFlow's illustrative mobility configuration; not an official event schedule.
post_match,Post-match,After final whistle,135,outbound,clearing,derived,synthetic,Materialized from FinalFlow's illustrative mobility configuration; not an official event schedule.
