scenario_id,timestamp,time_minutes,phase_id,node_id,incoming_passengers,queue_passengers,holding_passengers,served_passengers,departing_passengers,utilization,estimated_wait_minutes,data_type,assumption_note
baseline,2026-07-19T12:00:00Z,-180,pre_match,midtown,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,penn_station,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,secaucus,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,meadowlands,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,stadium,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,midtown,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,penn_station,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,secaucus,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,meadowlands,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,stadium,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,midtown,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,penn_station,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,secaucus,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,meadowlands,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,stadium,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,midtown,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,penn_station,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,secaucus,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,meadowlands,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,stadium,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,midtown,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,penn_station,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,secaucus,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,meadowlands,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,stadium,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,midtown,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,penn_station,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,secaucus,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,meadowlands,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,stadium,0,0,0,0,0,0.0,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,midtown,12,0,0,12,12,0.02,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,penn_station,3,0,0,3,3,0.0033333333333333335,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,secaucus,3,0,0,3,3,0.005,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,meadowlands,1,0,0,1,1,0.0011111111111111111,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,stadium,11,11,0,0,0,0.0,30.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,midtown,12,0,0,12,12,0.02,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,penn_station,3,0,0,3,3,0.0033333333333333335,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,secaucus,3,0,0,3,3,0.005,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,meadowlands,1,0,0,1,1,0.0011111111111111111,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,stadium,11,22,0,0,0,0.0,25.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:40:00Z,-140,pre_match,midtown,12,0,0,12,12,0.02,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:40:00Z,-140,pre_match,penn_station,3,0,0,3,3,0.0033333333333333335,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:40:00Z,-140,pre_match,secaucus,3,0,0,3,3,0.005,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:40:00Z,-140,pre_match,meadowlands,1,0,0,1,1,0.0011111111111111111,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:40:00Z,-140,pre_match,stadium,12,34,0,0,0,0.0,20.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:45:00Z,-135,pre_match,midtown,23,0,0,23,23,0.03833333333333333,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:45:00Z,-135,pre_match,penn_station,17,0,0,17,17,0.01888888888888889,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:45:00Z,-135,pre_match,secaucus,7,0,0,7,7,0.011666666666666667,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:45:00Z,-135,pre_match,meadowlands,6,0,0,6,6,0.006666666666666667,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:45:00Z,-135,pre_match,stadium,26,60,0,0,0,0.0,15.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:50:00Z,-130,pre_match,midtown,23,0,0,23,23,0.03833333333333333,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:50:00Z,-130,pre_match,penn_station,17,0,0,17,17,0.01888888888888889,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
baseline,2026-07-19T12:50:00Z,-130,pre_match,secaucus,7,0,0,7,7,0.011666666666666667,0.0,derived,Derived from synthetic FinalFlow scenario inputs; not observed event operations.
