month,category,total_visits,record_count,unique_stores,mean_daily_visits,data_type
2020-01-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1308638,46531,1501,28.12,derived
2020-02-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1335978,43529,1501,30.69,derived
2020-03-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",791841,46531,1501,17.02,derived
2020-04-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",32725,45030,1501,0.73,derived
2020-05-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",619624,46531,1501,13.32,derived
2020-06-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1119430,45030,1501,24.86,derived
2020-07-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1193721,46531,1501,25.65,derived
2020-08-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1155195,46624,1504,24.78,derived
2020-09-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1081897,45030,1501,24.03,derived
2020-10-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1014991,46500,1500,21.83,derived
2020-11-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",994699,45510,1517,21.86,derived
2020-12-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1146085,46934,1514,24.42,derived
2021-01-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",763483,46624,1504,16.38,derived
2021-02-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",854953,42112,1504,20.3,derived
2021-03-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1393900,46624,1504,29.9,derived
2021-04-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1328709,45060,1502,29.49,derived
2021-05-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1383137,46562,1502,29.71,derived
2021-06-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1415912,45060,1502,31.42,derived
2021-07-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1396027,46345,1495,30.12,derived
2021-08-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1324952,46438,1498,28.53,derived
2021-09-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1223459,45030,1501,27.17,derived
2021-10-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1232576,46500,1500,26.51,derived
2021-11-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1326710,44880,1496,29.56,derived
2021-12-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1414692,46221,1491,30.61,derived
2022-01-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",963862,45911,1481,20.99,derived
2022-02-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1056837,41412,1479,25.52,derived
2022-03-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1366831,45849,1479,29.81,derived
2022-04-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1344288,44370,1479,30.3,derived
2022-05-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1344084,45787,1477,29.36,derived
2022-06-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1372835,44160,1472,31.09,derived
2022-07-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1314641,45539,1469,28.87,derived
2022-08-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1354905,45477,1467,29.79,derived
2022-09-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1215704,44070,1469,27.59,derived
2022-10-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1199403,45260,1460,26.5,derived
2022-11-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1233625,43920,1464,28.09,derived
2022-12-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1385658,45384,1464,30.53,derived
2023-01-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1058886,44981,1451,23.54,derived
2023-02-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1139406,40544,1448,28.1,derived
2023-03-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1293683,44857,1447,28.84,derived
2023-04-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1260351,43410,1447,29.03,derived
2023-05-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1305093,44702,1442,29.2,derived
2023-06-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1301534,43200,1440,30.13,derived
2023-07-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1279879,44516,1436,28.75,derived
2023-08-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1285178,44485,1435,28.89,derived
2023-09-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1146501,42960,1432,26.69,derived
2023-10-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1121048,44237,1427,25.34,derived
2023-11-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1196412,42600,1420,28.08,derived
2023-12-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1324056,44020,1420,30.08,derived
2024-01-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1032874,43927,1417,23.51,derived
2024-02-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1096849,40919,1411,26.81,derived
2024-03-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1249018,43741,1411,28.55,derived
2024-04-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1217272,42300,1410,28.78,derived
2024-05-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1274412,43586,1406,29.24,derived
2024-06-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1234388,42090,1403,29.33,derived
2024-07-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1251519,43400,1400,28.84,derived
2024-08-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1258963,43369,1399,29.03,derived
2024-09-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1043702,41910,1397,24.9,derived
2024-10-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1081133,43121,1391,25.07,derived
2024-11-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1169510,41760,1392,28.01,derived
2024-12-01,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1301060,43059,1389,30.22,derived
2020-01-01,Activities Related to Credit Intermediation,457880,13516,436,33.88,derived
2020-02-01,Activities Related to Credit Intermediation,417486,12644,436,33.02,derived
2020-03-01,Activities Related to Credit Intermediation,262578,13516,436,19.43,derived
2020-04-01,Activities Related to Credit Intermediation,11569,13080,436,0.88,derived
2020-05-01,Activities Related to Credit Intermediation,207190,13516,436,15.33,derived
2020-06-01,Activities Related to Credit Intermediation,359237,13080,436,27.46,derived
2020-07-01,Activities Related to Credit Intermediation,365525,13516,436,27.04,derived
2020-08-01,Activities Related to Credit Intermediation,345676,13516,436,25.58,derived
2020-09-01,Activities Related to Credit Intermediation,352538,13050,435,27.01,derived
2020-10-01,Activities Related to Credit Intermediation,368362,13485,435,27.32,derived
2020-11-01,Activities Related to Credit Intermediation,382096,13050,435,29.28,derived
2020-12-01,Activities Related to Credit Intermediation,416979,13485,435,30.92,derived
2021-01-01,Activities Related to Credit Intermediation,296671,13485,435,22.0,derived
2021-02-01,Activities Related to Credit Intermediation,269570,12180,435,22.13,derived
2021-03-01,Activities Related to Credit Intermediation,402152,13485,435,29.82,derived
2021-04-01,Activities Related to Credit Intermediation,415940,13050,435,31.87,derived
2021-05-01,Activities Related to Credit Intermediation,411610,13485,435,30.52,derived
2021-06-01,Activities Related to Credit Intermediation,420934,13050,435,32.26,derived
2021-07-01,Activities Related to Credit Intermediation,438572,13485,435,32.52,derived
2021-08-01,Activities Related to Credit Intermediation,434187,13516,436,32.12,derived
2021-09-01,Activities Related to Credit Intermediation,412152,13050,435,31.58,derived
2021-10-01,Activities Related to Credit Intermediation,402777,13423,433,30.01,derived
2021-11-01,Activities Related to Credit Intermediation,435644,12990,433,33.54,derived
2021-12-01,Activities Related to Credit Intermediation,465817,13392,432,34.78,derived
2022-01-01,Activities Related to Credit Intermediation,360769,13361,431,27.0,derived
2022-02-01,Activities Related to Credit Intermediation,350796,12068,431,29.07,derived
2022-03-01,Activities Related to Credit Intermediation,427743,13361,431,32.01,derived
2022-04-01,Activities Related to Credit Intermediation,403083,12840,428,31.39,derived
2022-05-01,Activities Related to Credit Intermediation,407717,13113,423,31.09,derived
2022-06-01,Activities Related to Credit Intermediation,410478,12660,422,32.42,derived
2022-07-01,Activities Related to Credit Intermediation,402001,13051,421,30.8,derived
2022-08-01,Activities Related to Credit Intermediation,423759,13082,422,32.39,derived
2022-09-01,Activities Related to Credit Intermediation,395884,12630,421,31.34,derived
2022-10-01,Activities Related to Credit Intermediation,383336,13082,422,29.3,derived
2022-11-01,Activities Related to Credit Intermediation,409165,12630,421,32.4,derived
2022-12-01,Activities Related to Credit Intermediation,462919,13113,423,35.3,derived
2023-01-01,Activities Related to Credit Intermediation,364725,13082,422,27.88,derived
2023-02-01,Activities Related to Credit Intermediation,339155,11732,419,28.91,derived
2023-03-01,Activities Related to Credit Intermediation,402486,12896,416,31.21,derived
2023-04-01,Activities Related to Credit Intermediation,369762,12480,416,29.63,derived
2023-05-01,Activities Related to Credit Intermediation,412227,12896,416,31.97,derived
2023-06-01,Activities Related to Credit Intermediation,401185,12480,416,32.15,derived
2023-07-01,Activities Related to Credit Intermediation,397834,12834,414,31.0,derived
2023-08-01,Activities Related to Credit Intermediation,412469,12834,414,32.14,derived
2023-09-01,Activities Related to Credit Intermediation,370779,12420,414,29.85,derived
2023-10-01,Activities Related to Credit Intermediation,374941,12710,410,29.5,derived
2023-11-01,Activities Related to Credit Intermediation,393324,12270,409,32.06,derived
2023-12-01,Activities Related to Credit Intermediation,420001,12679,409,33.13,derived
2024-01-01,Activities Related to Credit Intermediation,357823,12617,407,28.36,derived
2024-02-01,Activities Related to Credit Intermediation,349945,11774,406,29.72,derived
2024-03-01,Activities Related to Credit Intermediation,365290,12493,403,29.24,derived
2024-04-01,Activities Related to Credit Intermediation,368085,12060,402,30.52,derived
