month,total_visits,record_count,unique_stores,mean_daily_visits,data_type
2020-01-01,2646046668,3807265,122815,695.0,derived
2020-02-01,2591561979,3562563,122847,727.44,derived
2020-03-01,1672678002,3808257,122847,439.22,derived
2020-04-01,621029100,3684870,122829,168.53,derived
2020-05-01,1283297620,3803979,122709,337.36,derived
2020-06-01,1923018971,3677970,122599,522.85,derived
2020-07-01,1891450826,3794865,122415,498.42,derived
2020-08-01,1828511974,3788727,122217,482.62,derived
2020-09-01,1933716586,3647940,121598,530.08,derived
2020-10-01,2059641593,3763927,121417,547.21,derived
2020-11-01,1971070640,3644370,121479,540.85,derived
2020-12-01,2022105345,3765260,121460,537.04,derived
2021-01-01,1728938386,3774219,121749,458.09,derived
2021-02-01,1518398098,3409056,121752,445.4,derived
2021-03-01,2166864404,3781907,121997,572.96,derived
2021-04-01,2267068288,3660270,122009,619.37,derived
2021-05-01,2371624515,3785410,122110,626.52,derived
2021-06-01,2506709089,3665550,122185,683.86,derived
2021-07-01,2609450964,3789502,122242,688.6,derived
2021-08-01,2455346477,3789130,122230,648.0,derived
2021-09-01,2374761946,3666180,122206,647.75,derived
2021-10-01,2483152552,3789378,122238,655.29,derived
2021-11-01,2496453966,3665370,122179,681.09,derived
2021-12-01,2719872032,3789006,122226,717.83,derived
2022-01-01,2155293843,3783705,122055,569.63,derived
2022-02-01,2093366425,3417204,122043,612.6,derived
2022-03-01,2440591514,3785131,122101,644.78,derived
2022-04-01,2528556038,3656310,121877,691.56,derived
2022-05-01,2603031776,3778683,121893,688.87,derived
2022-06-01,2577518410,3658410,121947,704.55,derived
2022-07-01,2639065229,3781194,121974,697.94,derived
2022-08-01,2525967633,3784480,122080,667.45,derived
2022-09-01,2421410613,3663150,122105,661.02,derived
2022-10-01,2488869445,3788355,122205,656.98,derived
2022-11-01,2430344929,3667770,122259,662.62,derived
2022-12-01,2678919905,3790308,122268,706.78,derived
2023-01-01,2307705876,3783674,122054,609.91,derived
2023-02-01,2191719644,3414712,121954,641.85,derived
2023-03-01,2423713648,3784170,122070,640.49,derived
2023-04-01,2503459668,3661620,122054,683.7,derived
2023-05-01,2577529205,3796725,122475,678.88,derived
2023-06-01,2572211634,3675900,122530,699.75,derived
2023-07-01,2631763634,3797841,122511,692.96,derived
2023-08-01,2482927035,3797097,122487,653.9,derived
2023-09-01,2376008776,3677160,122572,646.15,derived
2023-10-01,2421709787,3799918,122578,637.31,derived
2023-11-01,2437018732,3677220,122574,662.73,derived
2023-12-01,2676816239,3800135,122585,704.4,derived
2024-01-01,2217200747,3795981,122451,584.09,derived
2024-02-01,2218432144,3548527,122363,625.17,derived
2024-03-01,2459923699,3792199,122329,648.68,derived
2024-04-01,2391123070,3667950,122265,651.9,derived
2024-05-01,2602460140,3789161,122231,686.82,derived
2024-06-01,2555486545,3666960,122232,696.9,derived
2024-07-01,2572509770,3793656,122376,678.11,derived
2024-08-01,2526923263,3795764,122444,665.72,derived
2024-09-01,2272755543,3679410,122647,617.7,derived
2024-10-01,2370420985,3801158,122618,623.6,derived
2024-11-01,2450264314,3677310,122577,666.32,derived
2024-12-01,2677678611,3798244,122524,704.98,derived
