placekey,location_name,market,city,region,latitude,longitude,top_category,includes_parking,spending_level,customer_activity_level,nearby_uhi,uhi_match_method,uhi_match_distance_m,evidence_status,commercial_opportunity,heat_concern,recommendation,reason,is_synthetic,data_type,source_file,generated_at
222-222@627-rw6-qfz,Immaculate Conception School,New York/New Jersey exploratory corridor,Bronx,NY,40.876391,-73.863766,Elementary and Secondary Schools,true,Low,Low,11.0,nearest_haversine_wgs84_within_limit,48.89,complete,Low,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-rw6-vj9,Classic Barber Shop,New York/New Jersey exploratory corridor,Bronx,NY,40.865223,-73.86869,Personal Care Services,false,Low,Low,8.0,nearest_haversine_wgs84_within_limit,63.1,complete,Low,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-rw7-r8v,Diamondback Sportswear,New York/New Jersey exploratory corridor,Bronx,NY,40.855061,-73.842112,Printing and Related Support Activities,false,Low,Low,7.0,nearest_haversine_wgs84_within_limit,11.61,complete,Low,Low/Moderate,Controlled use,Heat evidence is below the high-concern heuristic; monitor conditions,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-rw8-m8v,Gun Hill Muffler Inc.,New York/New Jersey exploratory corridor,Bronx,NY,40.865396,-73.835711,Automotive Repair and Maintenance,false,High,Medium,8.0,nearest_haversine_wgs84_within_limit,21.18,complete,High,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-rwb-zcq,Mobil,New York/New Jersey exploratory corridor,Bronx,NY,40.851792,-73.867779,Gasoline Stations,true,Low,Low,5.0,nearest_haversine_wgs84_within_limit,64.9,complete,Low,Low/Moderate,Controlled use,Heat evidence is below the high-concern heuristic; monitor conditions,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-rwc-j35,P&A Nails Spa,New York/New Jersey exploratory corridor,Bronx,NY,40.858625,-73.867717,Personal Care Services,false,Medium,Medium,6.0,nearest_haversine_wgs84_within_limit,45.52,complete,Medium,Low/Moderate,Controlled use,Heat evidence is below the high-concern heuristic; monitor conditions,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-rwf-xkf,Panera Bread,New York/New Jersey exploratory corridor,Bronx,NY,40.867641,-73.827458,Restaurants and Other Eating Places,false,High,High,11.0,nearest_haversine_wgs84_within_limit,60.59,complete,High,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-rwf-zvf,Red Lobster,New York/New Jersey exploratory corridor,Bronx,NY,40.868769,-73.826565,Restaurants and Other Eating Places,false,High,High,9.0,nearest_haversine_wgs84_within_limit,44.7,complete,High,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-rwm-rp9,Castle Hill Ymca,New York/New Jersey exploratory corridor,Bronx,NY,40.812474,-73.846019,Individual and Family Services,false,High,High,3.0,nearest_haversine_wgs84_within_limit,40.58,complete,High,Low/Moderate,Controlled use,Heat evidence is below the high-concern heuristic; monitor conditions,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-rwq-kvf,Casa Building Materials,New York/New Jersey exploratory corridor,Bronx,NY,40.822687,-73.885981,Building Material and Supplies Dealers,false,Medium,Low,10.0,nearest_haversine_wgs84_within_limit,34.84,complete,Medium,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-rwt-d7q,Triumph Martial Arts,New York/New Jersey exploratory corridor,Bronx,NY,40.832225,-73.82784,Other Schools and Instruction,false,Low,Low,9.0,nearest_haversine_wgs84_within_limit,33.41,complete,Low,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-rwx-dn5,Bronx Driving School Corp,New York/New Jersey exploratory corridor,Bronx,NY,40.831932,-73.851671,Other Schools and Instruction,false,Medium,Medium,10.0,nearest_haversine_wgs84_within_limit,16.25,complete,Medium,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-rwx-g49,New Apostolic Church,New York/New Jersey exploratory corridor,Bronx,NY,40.833024,-73.858274,Religious Organizations,false,Low,Low,10.0,nearest_haversine_wgs84_within_limit,23.21,complete,Low,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-s4c-n89,Caffe Milano Restaurant,New York/New Jersey exploratory corridor,Fort Lee,NJ,40.860387,-73.977206,Restaurants and Other Eating Places,false,Medium,Medium,3.0,nearest_haversine_wgs84_within_limit,70.33,complete,Medium,Low/Moderate,Controlled use,Heat evidence is below the high-concern heuristic; monitor conditions,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-s4c-nwk,Best Western Fort Lee,New York/New Jersey exploratory corridor,Fort Lee,NJ,40.865561,-73.973165,Traveler Accommodation,false,High,Medium,3.0,nearest_haversine_wgs84_within_limit,28.98,complete,High,Low/Moderate,Controlled use,Heat evidence is below the high-concern heuristic; monitor conditions,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-s4d-kfz,Extra Space Storage,New York/New Jersey exploratory corridor,Englewood,NJ,40.877747,-73.984209,Lessors of Real Estate,true,High,High,9.0,nearest_haversine_wgs84_within_limit,36.78,complete,High,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-s4f-94v,Apple Dental Clinic,New York/New Jersey exploratory corridor,Fort Lee,NJ,40.85282,-73.971809,Offices of Dentists,false,Low,Low,9.0,nearest_haversine_wgs84_within_limit,32.8,complete,Low,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-s4f-j7q,5 Salon & Spa,New York/New Jersey exploratory corridor,Fort Lee,NJ,40.850522,-73.970449,Personal Care Services,false,High,High,8.0,nearest_haversine_wgs84_within_limit,37.84,complete,High,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-s4k-ks5,The Boulevard Condominium,New York/New Jersey exploratory corridor,New York,NY,40.788673,-73.976213,Activities Related to Real Estate,false,Low,Low,10.0,nearest_haversine_wgs84_within_limit,70.18,complete,Low,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-s4k-mhq,The Bullpen,New York/New Jersey exploratory corridor,New York,NY,40.787269,-73.976555,"Office Supplies, Stationery, and Gift Stores",false,Low,Low,10.0,nearest_haversine_wgs84_within_limit,47.94,complete,Low,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-s4k-mtv,The Mermaid Inn,New York/New Jersey exploratory corridor,New York,NY,40.789215,-73.974632,Restaurants and Other Eating Places,false,High,High,10.0,nearest_haversine_wgs84_within_limit,76.89,complete,High,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-s4m-9j9,Starbucks,New York/New Jersey exploratory corridor,New York,NY,40.795323,-73.965351,Restaurants and Other Eating Places,false,High,High,6.0,nearest_haversine_wgs84_within_limit,65.38,complete,High,Low/Moderate,Controlled use,Heat evidence is below the high-concern heuristic; monitor conditions,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-s4m-ckf,Rona Kaye,New York/New Jersey exploratory corridor,New York,NY,40.793163,-73.965645,Other Amusement and Recreation Industries,false,Low,Low,3.0,nearest_haversine_wgs84_within_limit,57.24,complete,Low,Low/Moderate,Controlled use,Heat evidence is below the high-concern heuristic; monitor conditions,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-s4m-vzz,Just Salad,New York/New Jersey exploratory corridor,New York,NY,40.776561,-73.954894,Restaurants and Other Eating Places,false,Medium,High,10.0,nearest_haversine_wgs84_within_limit,63.02,complete,Medium,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-s4n-pn5,Lexington Children's Center,New York/New Jersey exploratory corridor,New York,NY,40.788049,-73.951129,Child Day Care Services,false,Low,Low,7.0,nearest_haversine_wgs84_within_limit,12.15,complete,Low,Low/Moderate,Controlled use,Heat evidence is below the high-concern heuristic; monitor conditions,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
222-222@627-s4n-xbk,3 Decker Restaurant,New York/New Jersey exploratory corridor,New York,NY,40.781232,-73.94897,Restaurants and Other Eating Places,false,High,High,10.0,nearest_haversine_wgs84_within_limit,90.48,complete,High,High,Avoid outdoor concentration,High heat concern under FinalFlow's UHI > 7 heuristic,false,derived,poi_summary.csv; spending_summary.csv; uhi_summary.csv,2026-08-12T00:00:00Z
