brand,total_visits,record_count,unique_stores,mean_daily_visits,earliest_date,latest_date,data_type
Walmart,5347685565,664840,368,8043.57,2020-01-01,2024-12-31,derived
McDonald's,4539683382,2194981,1288,2068.21,2020-01-01,2024-12-31,derived
Subway,4002985150,3425987,2165,1168.42,2020-01-01,2024-12-31,derived
Dunkin',3453273039,2060632,1316,1675.83,2020-01-01,2024-12-31,derived
Starbucks,3103714207,2992389,1888,1037.2,2020-01-01,2024-12-31,derived
Chevron,3064245527,1620082,1025,1891.41,2020-01-01,2024-12-31,derived
Taco Bell,2399718213,1199059,714,2001.33,2020-01-01,2024-12-31,derived
Burger King,2333294461,1149565,655,2029.72,2020-01-01,2024-12-31,derived
Domino's Pizza,2197904505,1193080,699,1842.21,2020-01-01,2024-12-31,derived
Wendy's,2003743450,983110,568,2038.17,2020-01-01,2024-12-31,derived
Sunoco,1690392060,1058496,642,1596.98,2020-01-01,2024-12-31,derived
CVS,1524442394,1552792,868,981.74,2020-01-01,2024-12-31,derived
ALDI,1373123688,338963,210,4050.95,2020-01-01,2024-12-31,derived
Dollar General,1354542100,2328475,1399,581.73,2020-01-01,2024-12-31,derived
Walgreens,1331510431,1349073,788,986.98,2020-01-01,2024-12-31,derived
Chipotle Mexican Grill,1330449864,606926,400,2192.11,2020-01-01,2024-12-31,derived
Target,1279009385,364378,208,3510.12,2020-01-01,2024-12-31,derived
Dairy Queen,1240889102,631141,367,1966.1,2020-01-01,2024-12-31,derived
KFC,1184305814,647615,384,1828.72,2020-01-01,2024-12-31,derived
Popeyes Louisiana Kitchen,1148472041,556316,375,2064.42,2020-01-01,2024-12-31,derived
The Home Depot,1104809390,417443,231,2646.61,2020-01-01,2024-12-31,derived
Sonic,1104698567,594495,340,1858.21,2020-01-01,2024-12-31,derived
Jack in the Box,1065808061,647597,377,1645.79,2020-01-01,2024-12-31,derived
Chick-fil-A,1021266840,508468,326,2008.52,2020-01-01,2024-12-31,derived
7-Eleven Fuel,1002870178,633442,461,1583.21,2020-01-01,2024-12-31,derived
Panda Express,988549734,472668,291,2091.43,2020-01-01,2024-12-31,derived
Sam's Club,951304628,98658,54,9642.45,2020-01-01,2024-12-31,derived
ARCO,900772081,463643,294,1942.81,2020-01-01,2024-12-31,derived
Shell Oil,874668441,1995753,1389,438.26,2020-01-01,2024-12-31,derived
Publix Super Markets,834748198,384815,225,2169.22,2020-01-01,2024-12-31,derived
Exxon Mobil,790206648,1035633,654,763.02,2020-01-01,2024-12-31,derived
Papa John's,785814169,464605,282,1691.36,2020-01-01,2024-12-31,derived
Jersey Mike's,781547170,442732,314,1765.28,2020-01-01,2024-12-31,derived
Marathon,709979481,456750,250,1554.42,2020-01-01,2024-12-31,derived
Dollar Tree,703402610,1312418,806,535.96,2020-01-01,2024-12-31,derived
7-Eleven,699775975,2128175,1440,328.82,2020-01-01,2024-12-31,derived
T.J. Maxx,682651402,228589,129,2986.37,2020-01-01,2024-12-31,derived
Speedway,674998139,359742,240,1876.34,2020-01-01,2024-12-31,derived
Family Dollar Stores,669727667,1196407,699,559.78,2020-01-01,2024-12-31,derived
Lowe's,653129583,288334,161,2265.18,2020-01-01,2024-12-31,derived
Pizza Hut,644341692,1106754,724,582.19,2020-01-01,2024-12-31,derived
Safeway,639684612,158002,91,4048.59,2020-01-01,2024-12-31,derived
Kroger,637640957,149418,85,4267.5,2020-01-01,2024-12-31,derived
Whataburger,623212504,326710,192,1907.54,2020-01-01,2024-12-31,derived
Panera Bread,608881572,364561,228,1670.18,2020-01-01,2024-12-31,derived
Kohl's,597263196,215282,122,2774.33,2020-01-01,2024-12-31,derived
Arby's,591442753,361687,215,1635.23,2020-01-01,2024-12-31,derived
Jimmy John's,566427363,305012,194,1857.07,2020-01-01,2024-12-31,derived
Whole Foods Market,557625194,128987,71,4323.11,2020-01-01,2024-12-31,derived
Circle K,536743998,971508,545,552.49,2020-01-01,2024-12-31,derived
IHOP,523815603,359195,214,1458.3,2020-01-01,2024-12-31,derived
QuikTrip,515075422,249155,151,2067.29,2020-01-01,2024-12-31,derived
Winn Dixie,513237607,147359,100,3482.91,2020-01-01,2024-12-31,derived
Five Guys,497735312,248545,152,2002.6,2020-01-01,2024-12-31,derived
Trader Joe's,496442471,124728,72,3980.2,2020-01-01,2024-12-31,derived
