intervention_id,name,category,target_id,capacity_change_pct,demand_shift_pct,departure_spread_minutes,implementation_cost_band,description,data_type,confidence_type,assumption_note
rail_capacity_15,15% rail capacity boost,capacity,rail_edges,0.15,0,0,medium,Synthetic intervention catalog entry; effect requires a separate deterministic scenario transformation.,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
rail_capacity_30,30% rail capacity boost,capacity,rail_edges,0.3,0,0,high,Synthetic intervention catalog entry; effect requires a separate deterministic scenario transformation.,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
rail_capacity_50,50% rail capacity boost,capacity,rail_edges,0.5,0,0,high,Synthetic intervention catalog entry; effect requires a separate deterministic scenario transformation.,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
post_match_shuttle,Additional post-match shuttle,service,stadium_egress,0.2,0,0,medium,Synthetic intervention catalog entry; effect requires a separate deterministic scenario transformation.,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
rideshare_geofence,Rideshare geofencing,demand_management,stadium_egress,0,-0.1,0,low,Synthetic intervention catalog entry; effect requires a separate deterministic scenario transformation.,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
staggered_departure,Staggered departure messaging,departure_management,stadium,0,0,60,low,Synthetic intervention catalog entry; effect requires a separate deterministic scenario transformation.,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
commercial_dwell,Commercial dwell incentive,departure_management,stadium_egress,0,0,30,medium,Synthetic intervention catalog entry; effect requires a separate deterministic scenario transformation.,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
pedestrian_only,Pedestrian-only corridor,pedestrian,meadowlands_stadium_walk,0.15,0,0,medium,Synthetic intervention catalog entry; effect requires a separate deterministic scenario transformation.,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
wayfinding,Additional wayfinding,pedestrian,secaucus_transfer,0.05,0,0,low,Synthetic intervention catalog entry; effect requires a separate deterministic scenario transformation.,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
shaded_queue,Temporary shaded queue,weather_resilience,stadium_egress,0,0,0,medium,Synthetic intervention catalog entry; effect requires a separate deterministic scenario transformation.,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
covered_transfer,Covered transfer area,weather_resilience,meadowlands_platform,0,0,0,high,Synthetic intervention catalog entry; effect requires a separate deterministic scenario transformation.,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
platform_management,Platform management,operations,meadowlands,0.1,0,0,medium,Synthetic intervention catalog entry; effect requires a separate deterministic scenario transformation.,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
parking_reservation,Parking reservation messaging,parking,stadium_parking,0,-0.05,0,low,Synthetic intervention catalog entry; effect requires a separate deterministic scenario transformation.,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
