scenario_id,timestamp,time_minutes,phase_id,origin_node,destination_node,mode,direction,passenger_demand,mode_share,demand_multiplier,source_profile,data_type,confidence_type,assumption_note
baseline,2026-07-19T12:00:00Z,-180,pre_match,midtown,stadium,rail,inbound,0,0.45,1.0,matchday_profile_v1,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,midtown,stadium,walk,inbound,0,0.15,1.0,matchday_profile_v1,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,midtown,stadium,shuttle,inbound,0,0.1,1.0,matchday_profile_v1,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,midtown,stadium,road,inbound,0,0.3,1.0,matchday_profile_v1,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,penn_station,stadium,rail,inbound,0,0.45,1.0,matchday_profile_v1,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,penn_station,stadium,walk,inbound,0,0.15,1.0,matchday_profile_v1,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,penn_station,stadium,shuttle,inbound,0,0.1,1.0,matchday_profile_v1,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,penn_station,stadium,road,inbound,0,0.3,1.0,matchday_profile_v1,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,secaucus,stadium,rail,inbound,0,0.45,1.0,matchday_profile_v1,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,secaucus,stadium,walk,inbound,0,0.15,1.0,matchday_profile_v1,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,secaucus,stadium,shuttle,inbound,0,0.1,1.0,matchday_profile_v1,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,secaucus,stadium,road,inbound,0,0.3,1.0,matchday_profile_v1,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
