scenario_id,timestamp,time_minutes,phase_id,parking_zone_id,estimated_spaces,occupied_spaces_input,arrival_vehicles,departure_vehicles,average_vehicle_occupancy,data_type,confidence_type,assumption_note
baseline,2026-07-19T12:00:00Z,-180,pre_match,stadium_parking,2000,400,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,meadowlands_remote,1200,240,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,secaucus_park_ride,1000,200,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,midtown_park_ride,800,160,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,stadium_parking,2000,400,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,meadowlands_remote,1200,240,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,secaucus_park_ride,1000,200,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,midtown_park_ride,800,160,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,stadium_parking,2000,400,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,meadowlands_remote,1200,240,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,secaucus_park_ride,1000,200,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,midtown_park_ride,800,160,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,stadium_parking,2000,400,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,meadowlands_remote,1200,240,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,secaucus_park_ride,1000,200,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,midtown_park_ride,800,160,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,stadium_parking,2000,400,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,meadowlands_remote,1200,240,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,secaucus_park_ride,1000,200,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,midtown_park_ride,800,160,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,stadium_parking,2000,400,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,meadowlands_remote,1200,240,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,secaucus_park_ride,1000,200,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,midtown_park_ride,800,160,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,stadium_parking,2000,401,1,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,meadowlands_remote,1200,240,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,secaucus_park_ride,1000,200,0,0,2.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
