scenario_id,timestamp,time_minutes,phase_id,segment_id,from_zone,to_zone,pedestrian_demand,effective_width_m,walking_speed_mps,effective_capacity_per_interval,weather_factor,data_type,confidence_type,assumption_note
baseline,2026-07-19T12:00:00Z,-180,pre_match,midtown_penn_walk,midtown_access,penn_station_access,0,7.0,1.3,955,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,penn_concourse,penn_station_access,penn_station_access,0,9.0,1.3,1228,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,secaucus_transfer,secaucus_transfer,secaucus_transfer,0,8.0,1.3,1092,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,meadowlands_platform,meadowlands_access,meadowlands_access,0,6.0,1.3,819,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,meadowlands_stadium_walk,meadowlands_access,stadium_egress,0,8.0,1.3,1092,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,stadium_egress_walk,stadium_egress,meadowlands_access,0,10.0,1.3,1365,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,midtown_penn_walk,midtown_access,penn_station_access,0,7.0,1.3,955,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,penn_concourse,penn_station_access,penn_station_access,0,9.0,1.3,1228,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,secaucus_transfer,secaucus_transfer,secaucus_transfer,0,8.0,1.3,1092,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,meadowlands_platform,meadowlands_access,meadowlands_access,0,6.0,1.3,819,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,meadowlands_stadium_walk,meadowlands_access,stadium_egress,0,8.0,1.3,1092,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,stadium_egress_walk,stadium_egress,meadowlands_access,0,10.0,1.3,1365,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,midtown_penn_walk,midtown_access,penn_station_access,0,7.0,1.3,955,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,penn_concourse,penn_station_access,penn_station_access,0,9.0,1.3,1228,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,secaucus_transfer,secaucus_transfer,secaucus_transfer,0,8.0,1.3,1092,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,meadowlands_platform,meadowlands_access,meadowlands_access,0,6.0,1.3,819,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,meadowlands_stadium_walk,meadowlands_access,stadium_egress,0,8.0,1.3,1092,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,stadium_egress_walk,stadium_egress,meadowlands_access,0,10.0,1.3,1365,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,midtown_penn_walk,midtown_access,penn_station_access,0,7.0,1.3,955,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,penn_concourse,penn_station_access,penn_station_access,0,9.0,1.3,1228,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,secaucus_transfer,secaucus_transfer,secaucus_transfer,0,8.0,1.3,1092,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,meadowlands_platform,meadowlands_access,meadowlands_access,0,6.0,1.3,819,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,meadowlands_stadium_walk,meadowlands_access,stadium_egress,0,8.0,1.3,1092,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,stadium_egress_walk,stadium_egress,meadowlands_access,0,10.0,1.3,1365,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,midtown_penn_walk,midtown_access,penn_station_access,0,7.0,1.3,955,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,penn_concourse,penn_station_access,penn_station_access,0,9.0,1.3,1228,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,secaucus_transfer,secaucus_transfer,secaucus_transfer,0,8.0,1.3,1092,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,meadowlands_platform,meadowlands_access,meadowlands_access,0,6.0,1.3,819,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,meadowlands_stadium_walk,meadowlands_access,stadium_egress,0,8.0,1.3,1092,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,stadium_egress_walk,stadium_egress,meadowlands_access,0,10.0,1.3,1365,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,midtown_penn_walk,midtown_access,penn_station_access,0,7.0,1.3,955,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,penn_concourse,penn_station_access,penn_station_access,0,9.0,1.3,1228,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,secaucus_transfer,secaucus_transfer,secaucus_transfer,0,8.0,1.3,1092,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,meadowlands_platform,meadowlands_access,meadowlands_access,0,6.0,1.3,819,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
