BRAND_ID,TOTAL_REVENUE,TOTAL_TRANS,AVG_SPEND_PER_TRANS
10001,34090738.2812,178925.2803,190.53
10002,59550223.3414,671300.0277,88.71
10003,20475993.5875,213420.3997,95.94
10005,78747.9907,2942.0908,26.77
10006,1524941.8441,16920.5248,90.12
10007,270735.6578,312.9049,865.23
10010,597594.732,2520.4079,237.1
10012,17815338.8941,1364309.0366,13.06
10013,2871510.32,13394.1235,214.39
10014,2022692.8747999999,114200.0333,17.71
10015,13011731.4081,20541.2029,633.45
10016,40505990.0106,785401.2301,51.57
10017,539824355.1075,26633925.279600002,20.27
10021,18385.9063,5.9694,3080.03
10022,367135.2031,2894.1567999999997,126.85
10024,1219268.9855,72624.7308,16.79
10027,87592814.2861,800587.4699,109.41
10028,36813939.6456,30961.105,1189.04
10029,20098.3558,326.6765,61.52
10032,7590439.6800999995,153858.8393,49.33
10034,23052338.905,25691.71,897.27
10035,6749630.7881,302582.0921,22.31
10036,198094882.836,1677761.86,118.07
10037,3486903.822,1180.1057,2954.74
10038,2644630.8969,3999.1376,661.3
10039,1967465.4867,8917.0378,220.64
10040,800509.2585,20809.0886,38.47
10042,177276332.0892,2072308.7069,85.55
10044,323.671,4.272,75.77
10045,69447841.9684,224126.9383,309.86
10046,106975332.3903,2356177.5507,45.4
10047,2055.9713,54.0951,38.01
10049,25995739.7583,529966.4323,49.05
10050,990585.449,99040.9324,10.0
10051,75714.2845,101.3252,747.24
10053,165769.2843,3138.9997,52.81
10055,330443432.5828,3435309.2935,96.19
10056,324530900.7191,12161675.5119,26.68
10058,194747168.872,3067326.0524,63.49
10059,1749791.2085,8212.673,213.06
10060,153562699.2255,2827882.1885,54.3
10063,319819.9853,9015.8914,35.47
10066,47121423.9189,54456.6801,865.3
10068,7732903.01,26868.4345,287.81
10069,25351654.4977,481562.5419,52.64
10070,4282584.1673,67637.3097,63.32
10073,31540.2991,684.4736,46.08
10074,10302474.1123,44445.0534,231.8
10077,8504.2128,28.6865,296.45
10080,95488199.9353,346546.436,275.54
10082,2724907.6442,4258.7402,639.84
10083,41566313.1152,39484.1121,1052.74
10084,455994041.50200003,725770.5778,628.29
10086,20801.5295,108.3453,191.99
10088,3767.651,8.1403,462.84
10092,2686998.7343,40742.9736,65.95
10093,755806047.2271,3936894.4797,191.98
10094,9134188.6502,28059.827,325.53
10096,13240.536399999999,54.8171,241.54
10097,834239238.4576,17967639.982,46.43
