TRANS_DATE,TOTAL_SPEND,TRANS_COUNT
2020-01-01,132850042.9371,2617115.7879
2020-01-02,158376673.9729,3133938.3285
2020-01-03,178649450.4238,3435582.3603
2020-01-04,165677747.5414,3334513.6009
2020-01-05,143581851.1024,2973628.9991
2020-01-06,144033103.7974,2978624.3245
2020-01-07,140706407.6677,2926138.6804
2020-01-08,136845582.1295,2942696.7674000002
2020-01-09,136801120.23749998,2965173.6686
2020-01-10,161907262.6906,3361671.0536
2020-01-11,158186337.2931,3334764.9163
2020-01-12,139394479.7887,3065033.766
2020-01-13,138228978.3015,2886282.0584
2020-01-14,132795349.044,2946473.1137
2020-01-15,145479424.9066,3069722.4587
2020-01-16,138196507.0113,3022793.0298
2020-01-17,167595335.9045,3457071.6723
2020-01-18,160031534.253,3368489.1523
2020-01-19,140050628.8205,3102355.2056
2020-01-20,148621120.88910002,3174082.151
2020-01-21,137223957.0119,2977496.5965
2020-01-22,133357304.6432,2918377.3466
2020-01-23,139957655.4454,3026281.1776
2020-01-24,164385123.6212,3450481.5545
2020-01-25,159887024.5128,3450336.8031
2020-01-26,143899468.2515,3131942.8743999996
2020-01-27,137216640.0658,2998691.7602
2020-01-28,133642476.7675,2947270.1747
2020-01-29,129629442.00400001,2889972.4886
2020-01-30,134609484.2668,3013458.1602
2020-01-31,175758266.8087,3529201.6029
2020-02-01,200608743.4639,3906460.1462
2020-02-02,147408239.1941,3181084.5411
2020-02-03,152220019.0621,3007400.3996
2020-02-04,145490744.7965,3032267.6246
2020-02-05,140054668.973,2991020.0603
2020-02-06,139775530.05879998,3051808.2112
2020-02-07,171807190.6502,3596054.3265
2020-02-08,166656830.76860002,3605003.4242
2020-02-09,150173128.6491,3218824.7312
2020-02-10,142918676.6975,3047473.9767
2020-02-11,139807584.4232,3073073.3596
2020-02-12,143410305.1963,3238228.4476
2020-02-13,157281249.9514,3431557.0524999998
2020-02-14,187774247.4302,3939836.9274
2020-02-15,171619449.5254,3574333.9887
2020-02-16,147391706.9694,3269623.7517
2020-02-17,156231173.391,3330449.4185
2020-02-18,143064447.6729,3075654.5783
2020-02-19,137695717.8683,3050079.8757
2020-02-20,146357652.0683,3177340.0219
2020-02-21,171619774.738,3545741.4827
2020-02-22,166300772.8251,3576301.4924
2020-02-23,149479761.2618,3291706.677
2020-02-24,142836632.5137,3077081.3151000002
2020-02-25,143741122.5738,3095993.2443999997
2020-02-26,156430777.5925,3184822.7607
2020-02-27,155848420.8627,3266853.0219
2020-02-28,191240862.917,3761594.6926
2020-02-29,195660019.1338,3912434.405
2020-03-01,189445569.9147,3677450.6919
2020-03-02,172673811.9502,3323540.7154
2020-03-03,165386154.206,3263111.7336999997
2020-03-04,154279003.1457,3233295.4388
2020-03-05,161085772.8152,3319380.2714
2020-03-06,183935697.788,3700610.2639
2020-03-07,181950685.359,3689424.8159
2020-03-08,150901688.3505,3303488.4002
2020-03-09,153395581.9461,3249580.4253000002
2020-03-10,147937731.56599998,3135777.0335
2020-03-11,155807909.3401,3262768.156
2020-03-12,175190614.7791,3432396.482
2020-03-13,214542198.2288,3979153.1406
2020-03-14,190573174.7303,3630852.8601
2020-03-15,152059965.6068,3109408.7704
2020-03-16,172863983.4806,3200681.3109
2020-03-17,148370920.2411,2898378.5911
2020-03-18,137038849.0834,2683249.0479
2020-03-19,136749789.879,2765746.5899
2020-03-20,166676876.1764,3063847.3465
2020-03-21,131745964.2163,2660124.1624
2020-03-22,104301068.1151,2233805.3415
2020-03-23,116835788.3445,2341915.7182
2020-03-24,115164023.2268,2334699.3261
2020-03-25,116537695.712,2329948.9359
2020-03-26,117751154.4604,2335534.0907
2020-03-27,134573288.7272,2666938.7015
2020-03-28,118247923.8714,2421051.1695
2020-03-29,97593154.3298,2166827.9427
2020-03-30,112863298.9592,2203179.0874
2020-03-31,126483003.7439,2328405.1589
2020-04-01,150397757.8398,2605842.6804
2020-04-02,132169033.6894,2468825.6404
2020-04-03,149690196.3296,2703615.9782000002
2020-04-04,129437191.48,2502743.1482
2020-04-05,105267464.9,2167294.5407
2020-04-06,120242175.0027,2332328.1525
2020-04-07,122224901.1361,2293580.6219
2020-04-08,117425215.7495,2327434.4355
2020-04-09,122164737.5316,2384646.3087999998
2020-04-10,145459077.6819,2708756.4977
2020-04-11,127301015.7149,2597541.0245
2020-04-12,77186801.62189999,1776221.8199
2020-04-13,117621752.5245,2266283.2011
2020-04-14,120268120.3879,2353792.8358
2020-04-15,168040188.4942,2774509.8818
2020-04-16,146411993.4812,2675641.0731
2020-04-17,157465800.2301,2849314.4083
2020-04-18,141112714.1469,2682353.8592
2020-04-19,117019863.8155,2362485.0891
2020-04-20,132171496.38769999,2528947.8083
2020-04-21,137861492.0002,2582037.2912
2020-04-22,133504623.1211,2512018.5812
2020-04-23,135399204.9144,2552192.9426
2020-04-24,147718419.6177,2760654.0982
2020-04-25,140799156.1713,2746735.0136
2020-04-26,117956539.884,2440698.3736
2020-04-27,130519421.50050001,2605687.3105
2020-04-28,143142795.237,2661292.3499000003
2020-04-29,137913036.5602,2622613.5105
2020-04-30,153876380.4746,2791558.6001999998
2020-05-01,189975624.9874,3219822.7117
2020-05-02,156852763.8096,2973060.4896
2020-05-03,129294629.2366,2652109.6794
2020-05-04,152539257.9776,2793857.1562
2020-05-05,151513211.4623,2850464.8036
2020-05-06,143340786.0183,2815568.6896
2020-05-07,149187092.8801,2835198.7304000002
2020-05-08,167741173.7583,3107118.6585
2020-05-09,163478987.2739,3146449.2649
2020-05-10,127822537.5784,2732783.2293000002
2020-05-11,138173944.39519998,2667757.0345
2020-05-12,139111481.3255,2723781.5108000003
2020-05-13,140833846.4943,2791067.962
2020-05-14,145160594.84170002,2798211.0484
2020-05-15,174089914.0758,3146051.9093
2020-05-16,152598447.8144,3055125.414
2020-05-17,129468438.4523,2693194.4928
2020-05-18,145124193.0641,2786460.5111
2020-05-19,149354818.3651,2863273.817
2020-05-20,154744354.5296,2874140.7269
2020-05-21,154858868.17520002,2974140.957
2020-05-22,174148037.241,3292823.2239
2020-05-23,157939551.915,3138855.3717
2020-05-24,130142533.9182,2737041.6235
2020-05-25,133232510.3588,2728062.8059
2020-05-26,150247854.1483,2900437.0479
2020-05-27,153017045.354,2923406.3109
2020-05-28,153498595.4943,2984794.0704
2020-05-29,177065526.246,3242119.1432000003
2020-05-30,159350267.3208,3097506.364
2020-05-31,137962656.56689999,2746405.3966
2020-06-01,166450618.25530002,2981003.3189
2020-06-02,157513063.4258,2991972.764
2020-06-03,158065000.7069,2984666.8784
2020-06-04,155698200.7287,2946112.9874
2020-06-05,178561120.5,3284617.3824
2020-06-06,160085194.6654,3180109.2506
2020-06-07,137910030.9935,2823200.256
2020-06-08,157722485.7757,2988592.074
2020-06-09,153875129.0658,3001566.9477
2020-06-10,157903212.8157,3052649.499
2020-06-11,154792744.60300002,3079961.2993
2020-06-12,179143379.3964,3413182.6465
2020-06-13,169870694.979,3348377.6934
2020-06-14,140769458.145,2979370.2407
2020-06-15,159556393.92339998,3056985.553
2020-06-16,165750862.6169,3122442.4836
2020-06-17,162497724.33359998,3160947.0418
2020-06-18,166559163.5257,3205959.8376
2020-06-19,183346000.8833,3565048.8649
2020-06-20,177690413.9028,3476522.5990999998
2020-06-21,141716411.3258,2976356.8814
2020-06-22,155521015.5863,3041453.1544
2020-06-23,158646240.7932,3035453.8785
2020-06-24,156031391.8974,3063493.4772
2020-06-25,161662256.3751,3215217.4184
2020-06-26,182997264.2462,3504252.7546
2020-06-27,168903197.9194,3306797.2025
2020-06-28,148306816.5854,2998036.0242
2020-06-29,160673749.87060001,3077608.7254
2020-06-30,176377017.1946,3215127.5216
2020-07-01,195503705.0053,3346727.3912
2020-07-02,184107624.7758,3396631.624
2020-07-03,204223671.7987,3700964.8263
2020-07-04,141631314.922,2935743.3777
2020-07-05,135981950.612,2772902.6201
2020-07-06,162098449.3161,3076787.1792
2020-07-07,162675034.7221,3052088.8758
2020-07-08,158166165.1191,3050605.1027
2020-07-09,161252068.5849,3077628.3904
2020-07-10,184691855.0851,3472566.9893
2020-07-11,167005973.3971,3462256.6752
2020-07-12,144124244.3685,3017445.6559
2020-07-13,159957813.7313,3135738.4049
2020-07-14,160878896.5578,3100334.3165
2020-07-15,166485052.81939998,3192652.3389
2020-07-16,162848103.0032,3156842.6436
2020-07-17,185643860.0635,3503140.3329
2020-07-18,165581958.9672,3342291.6154
2020-07-19,144841000.703,3032541.9377
2020-07-20,160617251.4958,3071110.5818000003
2020-07-21,158193820.0545,3086101.204
2020-07-22,156681557.5827,3105918.4781
2020-07-23,160443914.7242,3178777.5094
2020-07-24,179554482.8586,3485245.9461
2020-07-25,168341854.4848,3382150.1129
2020-07-26,148270225.3143,3093397.6296
2020-07-27,157479691.5444,3019238.9725
2020-07-28,159455621.0541,3103835.9276
2020-07-29,156949122.2488,3044179.4971
2020-07-30,160509294.3079,3140474.413
2020-07-31,195709614.0094,3518151.1959
2020-08-01,194612264.3345,3617716.6693
2020-08-02,156844600.81599998,3092816.7031
