zone_id,zone_name,latitude,longitude,business_opportunity_score,mobility_risk_score,placement_class,data_confidence,reason,data_type,scenario_id,assumption_note
ZONE_001,MetLife Sector 1,40.81509,-74.073428,53.39,37.29,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_002,MetLife Sector 2,40.813185,-74.075555,37.77,19.08,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_003,MetLife Sector 3,40.815543,-74.076431,29.59,83.98,Avoided,scenario,Synthetic scenario: risk score exceeds the avoidance threshold,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_004,MetLife Sector 4,40.818169,-74.072565,47.01,80.19,Avoided,scenario,Synthetic scenario: risk score exceeds the avoidance threshold,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_005,MetLife Sector 5,40.812898,-74.071307,95.43,30.64,Recommended,scenario,Synthetic scenario: high opportunity and low risk scores under heuristic thresholds,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_006,MetLife Sector 6,40.812898,-74.071606,45.86,62.8,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_007,MetLife Sector 7,40.818338,-74.076918,61.5,75.38,Avoided,scenario,Synthetic scenario: risk score exceeds the avoidance threshold,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_008,MetLife Sector 8,40.815902,-74.075328,76.24,54.42,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_009,MetLife Sector 9,40.812192,-74.073406,49.09,52.37,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_010,MetLife Sector 10,40.815228,-74.071473,97.74,29.35,Recommended,scenario,Synthetic scenario: high opportunity and low risk scores under heuristic thresholds,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_011,MetLife Sector 11,40.81221,-74.075838,97.0,17.45,Recommended,scenario,Synthetic scenario: high opportunity and low risk scores under heuristic thresholds,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_012,MetLife Sector 12,40.812203,-74.074957,40.14,81.78,Avoided,scenario,Synthetic scenario: risk score exceeds the avoidance threshold,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
