PARENT_PLACEKEY,LATITUDE,LONGITUDE
zzy-222@8fc-fcy-mrk,29.704657,-95.491451
22z-232@5z6-3q6-75z,34.003199,-118.331817
25g-223@627-wbz-snq,40.70949,-74.010304
222-222@8fc-9r9-vxq,29.776195,-95.316487
224-222@627-s8j-tsq,40.741987,-73.973878
222-2fv@627-s6d-whq,40.83994,-73.941727
zzw-223@62j-sgh-99f,42.335905,-71.106877
zzy-224@8fc-f9x-rx5,29.707196,-95.396852
zzy-22m@627-wc6-zmk,40.721616,-74.005777
22d-226@5x4-4qw-r6k,47.561676,-122.339101
zzw-223@627-wbz-v2k,40.713745,-74.005632
223-225@5vh-b3c-ks5,37.632356,-122.087026
223-26h@8g6-ym3-x89,33.848092,-84.365571
222-2gk@5vg-7h2-6hq,37.765892,-122.390478
222-285@5vg-7qj-ckf,37.872752,-122.255299
zzw-222@628-pgf-2hq,39.958156,-75.199046
225-222@627-wgz-2ff,40.631453,-74.010514
23b-23c@62j-shx-c5z,42.361607,-71.068158
zzy-225@8fw-23m-tsq,25.742042,-80.295292
226-224@5z4-zwb-mrk,34.048677,-118.439676
23s-25j@627-s8t-tgk,40.753658,-73.974583
222-248@8fc-8tn-5pv,29.583781,-95.206549
222-2kw@62j-shx-snq,42.362513,-71.067879
226-223@8g7-46k-gx5,33.735646,-84.364467
22g-22q@627-wc7-8gk,40.716891,-73.995397
228-2ty@5z5-3p7-hdv,34.098891,-118.293366
227-238@5qv-x3m-f2k,32.821972,-96.847268
zzy-222@63r-tv9-qcq,38.654837,-77.305129
zzw-223@5vg-7qj-z4v,37.858538,-122.260046
229-22f@5z6-3n4-bp9,33.81724,-118.108676
22r-2bt@5vg-7gr-pqf,37.785273,-122.439501
zzy-223@5x4-4b4-4y9,47.654867,-122.342844
223-23n@8fc-f9s-hnq,29.691413,-95.4035
229-222@5vh-7y8-hwk,37.540291,-122.298703
zzw-222@5qv-xjb-hh5,32.981007,-96.768947
zzy-223@8fc-fc3-99f,29.745755,-95.372975
232-222@8fc-fgw-ht9,29.736871,-95.573831
222-2h8@5qv-x4n-3kf,32.909706,-96.772705
252-25k@62j-sj3-st9,42.338712,-71.075311
22w-222@627-tz3-qmk,40.868076,-74.133782
223-224@5z5-3mq-x5z,34.017993,-118.199027
zzw-222@5pr-6f5-ndv,39.048305,-94.589902
224-222@627-s69-zj9,40.843845,-73.910172
22j-224@627-s4m-yd9,40.779719,-73.955428
226-224@8sx-ybn-zs5,29.733156,-95.419619
zzy-225@5vg-7gw-sbk,37.789576,-122.416258
223-22g@628-t5t-c5z,40.305147,-74.680308
zzy-222@8fc-f9t-fj9,29.707057,-95.40085
228-228@8fc-f9t-brk,29.709919,-95.403051
zzy-222@5x4-4dc-c5z,47.713386,-122.335561
zzw-22d@628-t6v-p35,40.364064,-74.651582
222-33f@5vg-7gx-jy9,37.757693,-122.40589
223-28y@628-pp5-26k,39.990478,-75.129749
226-22c@8g6-ym4-ysq,33.812953,-84.357224
226-2h7@62j-sg8-dgk,42.32696,-71.110908
223-23s@8g6-yj8-k75,33.909923,-84.349858
222-229@8fc-8tn-cqz,29.587388,-95.208184
227-23z@8g7-474-p9z,33.792909,-84.386191
228-22f@627-wdb-g8v,40.578922,-73.967064
22c-222@8fc-f92-85f,29.701558,-95.6426
zzy-226@5x4-49x-hyv,47.623964,-122.338035
2tr-222@5vg-7gt-brk,37.791197,-122.402291
22b-223@5vg-7y8-cyv,37.571393,-122.331835
zzy-225@628-pm9-ygk,39.94154,-75.147035
226-223@627-s5y-mc5,40.889601,-73.975396
233-22d@627-s8j-nkf,40.74946,-73.976499
222-22b@63j-vsb-89z,40.050102,-82.451907
zzw-225@5z5-3p7-gx5,34.098198,-118.293155
222-23b@8fc-fc3-6hq,29.749332,-95.37249
222-246@627-s57-xyv,40.88265,-74.056042
222-235@5x4-4b3-kcq,47.658584,-122.31865
222-27s@628-p78-fmk,40.071709,-74.982179
222-22n@627-s6z-jd9,40.904376,-73.968724
zzy-222@8fc-f9t-fj9,29.707192,-95.402104
22f-222@5x4-49r-b49,47.586002,-122.304903
22k-22n@627-s4m-73q,40.805012,-73.962429
zzy-22q@627-wc7-5mk,40.714875,-74.001062
223-226@628-pj4-zzz,40.005772,-75.150925
zzy-233@628-pmf-sdv,39.947748,-75.169109
222-24y@5vg-7h2-r49,37.776402,-122.391404
22w-222@5x4-4b5-jgk,47.584418,-122.301397
232-266@627-s6d-cef,40.825232,-73.946932
22c-223@8fc-9nz-gkz,29.942162,-95.393863
22w-22f@627-s8j-nkf,40.75087,-73.977185
237-22b@627-s8j-dd9,40.734224,-73.993553
223-229@8fc-fgw-y7q,29.73644,-95.569328
zzw-222@63s-2r6-835,37.614844,-77.495563
zzy-224@5qv-v83-mtv,32.913754,-96.737172
23b-222@5z5-3rf-45f,34.074108,-118.324409
224-222@5qw-ss2-z2k,32.755287,-96.683562
224-225@8fc-rnm-pgk,29.851483,-95.646638
22f-222@63r-7mh-kxq,38.593783,-76.942777
225-222@8fw-24x-fzz,25.84483,-80.253578
226-229@8fw-27j-9mk,25.779309,-80.223056
224-227@8fc-fcz-fzz,29.706497,-95.441866
226-22q@627-rwx-y9z,40.845299,-73.845036
zzy-222@8fc-f9t-fj9,29.706436,-95.401427
228-222@5z5-3rb-5s5,34.057896,-118.353509
zzy-23k@627-s8r-4sq,40.755545,-73.971846
229-28d@628-pmb-9s5,39.954671,-75.163682
zzy-22p@628-pmb-6c5,39.949288,-75.157533
222-28v@5vh-b4n-dqf,37.336284,-121.997527
222-245@5z6-3ch-jy9,33.763677,-118.186037
222-224@8fc-88f-hqz,29.592994,-95.140462
22h-226@627-s8n-649,40.764179,-73.95367
222-22f@8fc-fbg-4vz,29.737418,-95.464537
zzw-222@8g7-46z-kcq,33.78165,-84.405484
22j-29j@627-wbz-qzz,40.704983,-74.007377
zzw-223@5x4-4b8-p7q,47.622661,-122.321353
22w-229@62j-shy-pvz,42.352873,-71.046757
zzy-226@8fv-zzt-5zz,25.811125,-80.186493
223-243@8fc-fhm-zfz,29.783695,-95.579886
22k-222@5z5-3qr-ffz,34.064099,-118.272249
zzw-222@5z6-3cj-2hq,33.779784,-118.188019
224-222@8fw-5vf-jjv,25.700876,-80.343606
225-222@5x4-4b5-wtv,47.608141,-122.320273
24v-22t@5vg-7gj-zmk,37.725074,-122.394524
223-22v@5z4-zw9-zj9,34.064311,-118.446226
zzw-22s@628-pmf-mrk,39.954547,-75.167753
22d-22h@627-s8j-fj9,40.737966,-74.000997
222-225@5z5-3qt-qfz,34.060925,-118.303038
zzw-222@8g7-4pn-8vz,33.652451,-84.410282
zzy-223@628-pmf-7dv,39.948897,-75.19229
222-22h@63h-hzx-zpv,39.875177,-84.307385
222-223@8fc-rm4-3qz,29.919701,-95.615288
22g-224@5z4-zxb-f4v,33.97636,-118.390963
22v-224@627-s8q-tn5,40.761138,-73.982768
zzw-22d@628-t6v-p35,40.364654,-74.65343
223-22d@627-wh2-k4v,40.667964,-73.980123
222-27p@5z4-zxk-3wk,33.942066,-118.403881
222-222@8fw-5tt-q2k,25.684893,-80.339072
225-238@5vg-7gs-5vf,37.784922,-122.430439
