BRAND,TOTAL_VISITS
1-800 Got Junk,399851
1-800-Flowers,512688
10 Spot/MadRag,10082078
100 Montaditos,4650246
1000 Degrees Neapolitan Pizzeria,2438490
110 Grill,3790667
16 Handles,4350619
168 Market,13269867
1st Franklin Financial,3106439
1st Security Bank of Washington,860512
24 Hour Fitness,50571673
24/7 Travel Stores,1081176
2nd Ave,192447
2nd Wind Exercise Equipment,4260755
2nd and Charles,4915312
30 Burgers,1838407
365 Data Centers,2165126
4 Rivers Smokehouse,5846033
4 Wheel Parts,2311349
5 Star Nutrition,586837
5.11 Tactical,1079932
54th Street,11042087
7 For All Mankind,706453
7 Leaves Cafe,1758117
7-Eleven,699775975
7-Eleven Fuel,1002870178
76,91499354
800 Degrees,241082
800 Degrees Woodfired Kitchen,2992457
84 Lumber,5705312
85 Degrees C Bakery Cafe,25356830
99 Cents Only Stores,59450634
99 Ranch Market,58388935
99 Restaurants,2310784
9Round,7861890
A American Self Storage,509188
A Pea in the Pod,90118
A Storage Place,164116
A Suite Salon,151054
A&A Beauty Supply,482089
A&W Restaurants,14374118
A-1 Self Storage,1417966
A-MAX Auto Insurance,1129700
A.N. Deringer Inc.,56192
A.P.C. Store,196982
AAA / CAA,25527978
AAA Approved Auto Repair,225761
AAMCO Transmissions,1774849
ABC Auto Parts,1974226
ABC Fine Wine & Spirits,22755018
ABC Stores,32244
ABC Supply,3030625
ABF Freight System,95988
AC Hotel,22639594
ACE Cash Express,3580533
ACME Sav-on Pharmacy,3213152
AEG Vision,1231641
AG Jeans,322073
AGCO Manufacturing & Distribution,131745
AIM Mail Centers,238476
AIS Insurance,36278
AL Prime Energy,3757047
ALDI,1373123688
ALDO,72198359
ALOHA Mind Math,480009
ALON,20147418
AMBEST,16836829
AMC Entertainment,148142225
AMES,1622541
AMF,661543
APA Hotels & Resorts,665133
ARC Document Solutions,443869
ARCO,900772081
ASICS,1450444
AT&T,82961517
ATD Distribution Centers,1367198
AUDEMARS PIGUET,64991
Aaron's,3022589
Abbey Carpet and Floor,856050
Abbott's Frozen Custard,2647500
Abel's Qwik Stop,111148
Abercrombie,35777233
Aboff's Paints,715618
Abuelo's,5042414
Academy Bank,996601
Academy Sports + Outdoors,93599454
Acai Republic,2006079
Acapulco Restaurants,1118595
Accenture,474394
Acceptance Insurance,1869471
Ace Hardware,331340503
Ace Rent A Car,1605359
Acme Markets,176689527
Acne Studios,473999
Acorn Markets,1510167
Action Karate,1310933
Acura,4431244
Adam and Eve,3718044
Adecco,244032
Adidas,38483554
Adirondack Trust Company,494229
AdoreMe,813883
Adult Mart,782943
Advance America,8323096
Advance Auto Parts,169785610
Advantage Storage,220650
Adventure Dental And Vision,75345
Adventure Landing,604864
Aerotek,138580
Aesop,745864
Affinity Federal Credit Union,573879
Affordable Dental Care,20104
Affordable Dentures,1031168
Affordable Home Furnishings,32350
Affordable Insurance Agency,49359
Afters Ice Cream,3262075
Against All Odds,2106750
Agri Supply,303636
Agricultural Bank of China,142238
Agway,3417877
Ahern Rentals,59880
"Air Products and Chemicals, Inc.",1878636
Aire Serv,256383
Airgas,1087955
Aisha's Salon & Spa,766897
Aisle 1,2561949
Akin's Natural Food Market,737464
Akira,2084706
Akris,800864
Al and Ed's Autosound,789613
Al's Formal Wear,669278
Alabama Farmers Cooperative,148142
Aladdin's Eatery,3840976
Alamo Drafthouse Cinema,10612560
Alamo Rent A Car,674932
Albertsons,254544434
Albertsons Distribution,567016
Albertson’s Pharmacy,45152184
Aldi Distribution,199508
"Alex Brown, a Division of Raymond James",140124
Alex and Ani,243904
Alexander McQueen,608340
Alfa Romeo,21756
Alfred,884619
Alice and Olivia,638323
Alila Hotels,387885
All In Adventures Escape Rooms,244058
All Star Glass,51419
All Uniform Wear,6016953
AllModern,355677
AllSaints,952779
Allbirds,2448870
Allegra Network,300965
Allegro,405788
Allen Edmonds,2773618
Allen Tire Co.,1114024
Alliant Insurance Services,265114
Alloy Personal Training,882108
Allstate Insurance,34811164
Allsup's,20744257
Alltown,1323339
Alltown Fresh,328417
Alo Yoga,2237741
Aloft Hotels,44215197
Aloha Poke,22087
Alondra's,49924
Alphagraphics,255664
Alpine Shop,864785
Alta Convenience,95876
Altar'd State,8578099
Alternative Therapies Group,1278274
Altierus,1365474
Altitude Trampoline Parks,1918024
Alton Lane,56129
Amarillo National Bank,741571
Amato's,9857668
Amazing Intimate Essentials,346153
Amazing Lash Studio,10856665
Amazon 4-Star,346287
Amazon Books,413123
Amazon Distribution,4506202
Amazon Fresh,9136226
Amazon Go,2007446
Amcor PLC,876920
Ameci Pizza and Pasta,4367146
Amegy Bank,4657823
Amerant Bank,1235434
AmeriCash Loans,94621
AmericInn,507133
America's Best Contacts & Eyeglasses,8913838
America's Best Inn,253646
America's Food Basket,6547481
America's Mattress,1747590
America's Tire,3532767
American Bodyworks,898324
American Car Center,88303
American Deli,22395445
American Eagle Outfitters,104164580
American Fireworks,396817
American First National Bank,383049
American Flatbread,440171
American Freight,8584633
American Furniture Warehouse (AFW),478185
American Girl,1680475
American Job Centers,1692087
American Lubefast (ALF),645128
American Mattress,164417
American Momentum Bank,629643
American Signature Furniture,2745640
American Tire Depot,2812216
American Tire Distributors (ATD),1692768
Americas Best Value Inn,14473133
Americold Logistics,196031
Ameris Bank,4331237
Ami,804870
Amici's East Coast Pizzeria,4523992
Amorino Gelato,1106043
Ample Hills Creamery,684611
Amscot,1188635
Amstar,10672744
Amtrak,2368123
Amware Fulfillment,88026
Amway,562784
Andale Mexican Family Kitchen,90291
Andaz,4838121
Anderson's Frozen Custard,2377558
Andronico's,20845169
Andy's Frozen Custard,44397854
Angelika Film Center,1668543
Angelina,47230
Angry Crab Shack,456267
Anheuser-Busch Brewery,693620
Anheuser-Busch Warehouse,60438
Anine Bing,900112
Anixter,530208
Ann Taylor,19960097
Anna's Taqueria,4831482
Anne Fontaine,513662
Annie Sez,998199
Another Broken Egg Cafe,16527299
Anthony Vince Nail Spa,1416241
