VALID_DATE_AS_YYYYMMDD,MAX_TEMP_C,TOTAL_PRECIPITATION_MM
2020-01-01,25.47,28194.100000000002
2020-01-02,24.64,129115.7
2020-01-03,27.4,187558.0
2020-01-04,25.4,130608.1
2020-01-05,24.82,35949.7
2020-01-06,25.86,30373.8
2020-01-07,25.73,37899.2
2020-01-08,25.0,25226.7
2020-01-09,24.68,26549.7
2020-01-10,25.1,148836.8
2020-01-11,27.2,378594.2
2020-01-12,27.1,176694.5
2020-01-13,25.81,108845.3
2020-01-14,26.5,152258.1
2020-01-15,26.8,55258.9
2020-01-16,25.1,105445.3
2020-01-17,25.0,92827.9
2020-01-18,24.0,202154.5
2020-01-19,24.02,68292.1
2020-01-20,23.45,7550.2
2020-01-21,24.28,29345.9
2020-01-22,24.69,67068.2
2020-01-23,23.91,104040.3
2020-01-24,24.13,137215.3
2020-01-25,24.67,170866.2
2020-01-26,24.4,78059.0
2020-01-27,24.86,47404.5
2020-01-28,23.77,59662.5
2020-01-29,23.29,55489.8
2020-01-30,22.3,33695.4
2020-01-31,23.38,61249.9
2020-02-01,23.17,69291.8
2020-02-02,23.67,23189.899999999998
2020-02-03,23.08,15784.5
2020-02-04,24.7,63578.0
2020-02-05,23.62,166215.8
2020-02-06,26.7,382378.4
2020-02-07,23.35,279013.1
2020-02-08,23.94,25957.6
2020-02-09,24.45,50215.2
2020-02-10,27.65,189589.0
2020-02-11,26.25,165852.3
2020-02-12,27.1,157605.8
2020-02-13,28.3,192380.4
2020-02-14,26.1,33922.1
2020-02-15,25.49,17205.8
2020-02-16,26.05,61466.6
2020-02-17,26.49,52935.5
2020-02-18,26.85,145439.5
2020-02-19,27.45,95000.8
2020-02-20,26.5,138195.1
2020-02-21,25.7,60805.7
2020-02-22,24.77,20385.3
2020-02-23,25.12,26299.7
2020-02-24,25.65,119825.8
2020-02-25,27.22,161227.4
2020-02-26,29.5,58581.0
2020-02-27,25.25,82330.8
2020-02-28,25.58,11345.1
2020-02-29,24.66,10514.1
2020-03-01,24.34,15023.1
2020-03-02,25.45,76132.7
2020-03-03,25.4,114022.8
2020-03-04,25.95,185745.7
2020-03-05,29.55,160748.2
2020-03-06,26.64,55908.2
2020-03-07,25.04,17037.9
2020-03-08,25.66,17730.4
2020-03-09,24.42,65487.5
2020-03-10,25.12,108496.2
2020-03-11,28.4,48881.3
2020-03-12,29.2,86564.6
2020-03-13,31.2,154039.5
2020-03-14,32.7,98764.0
2020-03-15,31.8,99194.6
2020-03-16,27.94,72574.2
2020-03-17,26.15,79351.7
2020-03-18,28.75,147966.2
2020-03-19,28.7,224093.7
2020-03-20,26.94,195885.2
2020-03-21,29.0,80032.1
2020-03-22,27.38,79587.6
2020-03-23,27.61,153258.5
2020-03-24,27.95,116173.0
2020-03-25,28.7,132333.8
2020-03-26,28.0,44796.4
2020-03-27,30.95,41234.8
2020-03-28,33.9,168144.0
2020-03-29,34.9,159073.8
2020-03-30,30.7,61831.0
2020-03-31,28.8,109617.0
2020-04-01,28.35,72501.4
2020-04-02,31.65,42418.0
2020-04-03,36.3,68836.6
2020-04-04,39.4,72170.1
2020-04-05,36.45,60787.3
2020-04-06,33.1,47725.299999999996
2020-04-07,27.63,71448.6
2020-04-08,29.46,98172.4
2020-04-09,36.49,119444.2
2020-04-10,33.84,57592.4
2020-04-11,37.11,27385.0
2020-04-12,37.5,171953.5
2020-04-13,33.17,396011.3
2020-04-14,31.4,52788.7
2020-04-15,31.3,45764.5
2020-04-16,31.3,40558.6
2020-04-17,30.65,54801.0
2020-04-18,32.45,81486.0
2020-04-19,37.0,172051.6
2020-04-20,37.0,181396.1
2020-04-21,35.3,54537.2
2020-04-22,32.45,87765.2
2020-04-23,35.05,240270.2
2020-04-24,37.5,215856.3
2020-04-25,33.57,108695.90000000001
2020-04-26,35.02,115553.4
2020-04-27,39.74,53905.0
2020-04-28,37.9,82142.2
2020-04-29,38.95,225388.4
2020-04-30,35.65,234012.4
2020-05-01,39.05,102542.3
2020-05-02,34.88,25903.7
2020-05-03,39.95,54272.3
