location_id,date,temperature_avg_c,precipitation_mm,relative_humidity_pct,wind_speed_knots,visibility_km,is_hot,is_rainy,is_windy,is_low_visibility,weather_risk_score,weather_risk_level,recommended_action
KFOD,2022-04-11,10.63,0.0,47.5205,8.48,15.617,False,False,False,False,0.0,Low,Normal operations
KFSO,2022-04-13,9.95,5.159,60.83,1.341,16.0956,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KECS,2024-06-15,23.9,3.13,39.9534,5.852,0.0,True,True,False,True,0.8499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity; Slower vehicle assumptions & staff guidance
K66R,2021-01-21,15.59,2.25,96.7032,1.206,9.118,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KEHA,2024-06-25,30.16,0.08,36.0,8.68,15.617,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KFYG,2022-08-10,22.5,0.0,82.3958,0.7,13.1016,False,False,False,False,0.0,Low,Normal operations
KEHR,2023-11-26,3.11,0.684,87.5619,4.311,12.8472,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KCKV,2021-10-27,12.74,0.0,66.5489,6.028,16.583,False,False,False,False,0.0,Low,Normal operations
KFKA,2024-08-09,15.46,0.0,73.28,11.528,15.939,False,False,False,False,0.0,Low,Normal operations
KFKA,2024-08-31,20.04,0.225,72.67,9.548,16.744,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KDWU,2023-01-20,10.1,2.97,71.4408,9.072,16.583,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KFKR,2024-08-12,17.5,0.0,81.0264,1.14,15.1776,False,False,False,False,0.0,Low,Normal operations
KERY,2023-11-23,-1.27,0.0,72.0736,8.98,15.9378,False,False,False,False,0.0,Low,Normal operations
KSTF,2024-09-27,19.5,0.88,87.9648,7.458,12.5557,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KSXS,2024-09-15,24.36,5.08,88.3176,6.39,15.9378,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KSFZ,2023-09-22,16.19,0.0,78.3684,3.949,15.617,False,False,False,False,0.0,Low,Normal operations
KSFZ,2023-09-23,16.16,0.0,95.931,6.08,16.0784,False,False,False,False,0.0,Low,Normal operations
KSGH,2023-09-08,20.26,0.0,90.78,5.819,15.759,False,False,False,False,0.0,Low,Normal operations
KSGH,2023-09-16,15.61,0.0,66.0246,1.09,15.295,False,False,False,False,0.0,Low,Normal operations
KDED,2022-03-30,21.99,0.0,75.2724,7.48,12.896,False,False,False,False,0.0,Low,Normal operations
KCPW,2021-10-24,5.61,0.0,41.612,4.609,15.778,False,False,False,False,0.0,Low,Normal operations
KEYF,2023-11-23,13.31,29.315,76.72,4.719,15.617,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KFOE,2024-08-12,24.8,0.0,83.7596,6.589,16.583,False,False,False,False,0.0,Low,Normal operations
KFZG,2022-04-08,15.06,0.0,38.4217,7.568,16.744,False,False,False,False,0.0,Low,Normal operations
KGDV,2022-04-05,9.67,0.0,49.5099,19.26,14.2105,False,False,False,False,0.0,Low,Normal operations
KGUL,2020-04-12,25.7,0.055,89.6512,22.726,4.19,False,True,True,True,0.6499999999999999,High,Covered waiting & shuttle capacity; Secure temporary structures; Slower vehicle assumptions & staff guidance
KGIF,2022-04-02,24.4,2.54,86.61,7.28,11.5544,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KGIF,2022-04-20,22.0,0.0,51.49,11.313,15.295,False,False,False,False,0.0,Low,Normal operations
KMAF,2024-10-10,26.31,0.0,29.15,7.992,15.6222,True,False,False,False,0.35,Medium,Add water points & shade
K9MN,2021-01-07,-3.4,0.0,93.0303,2.99,7.5816,False,False,False,False,0.0,Low,Normal operations
KADC,2021-01-22,-14.7,0.0,76.5681,5.29,15.617,False,False,False,False,0.0,Low,Normal operations
KTBR,2024-09-04,24.9,0.0,63.2925,8.442,15.939,True,False,False,False,0.35,Medium,Add water points & shade
KSKF,2023-09-05,33.1,0.0,51.6817,11.528,16.744,True,False,False,False,0.35,Medium,Add water points & shade
KSLC,2023-09-24,18.63,0.0,43.21,5.59,16.744,False,False,False,False,0.0,Low,Normal operations
KSNC,2023-09-18,17.7,44.968,96.8792,2.4,11.169,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KSPB,2023-09-12,17.28,0.0,59.81,2.781,16.1,False,False,False,False,0.0,Low,Normal operations
KVKS,2020-03-16,18.01,0.0,77.5175,6.149,16.905,False,False,False,False,0.0,Low,Normal operations
KVLD,2020-03-16,21.6,0.0,74.45,4.89,16.905,False,False,False,False,0.0,Low,Normal operations
KRAP,2022-11-03,8.36,0.0,56.5386,18.054,14.688,False,False,False,False,0.0,Low,Normal operations
KAKO,2023-06-24,19.44,0.0,54.1745,10.503,16.261,False,False,False,False,0.0,Low,Normal operations
KAHN,2021-01-21,9.26,0.0,58.8159,5.599,14.3451,False,False,False,False,0.0,Low,Normal operations
KCLS,2024-02-01,11.1,8.721,94.4214,2.061,12.4344,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KALO,2023-06-04,25.08,0.275,51.5721,4.829,16.583,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KMHS,2024-10-03,19.74,0.0,36.4221,0.99,16.744,True,False,False,False,0.35,Medium,Add water points & shade
KHHF,2020-04-09,18.33,0.0,39.2559,7.39,16.583,False,False,False,False,0.0,Low,Normal operations
KHHG,2020-04-04,10.6,0.0,77.2953,2.58,0.0,False,False,False,True,0.2,Low,Slower vehicle assumptions & staff guidance
KEWB,2024-06-01,18.21,0.0,53.6418,4.279,15.295,False,False,False,False,0.0,Low,Normal operations
KEWB,2024-06-02,18.03,0.0,63.2884,3.861,16.1,False,False,False,False,0.0,Low,Normal operations
KAWG,2022-06-10,18.9,0.27,90.9909,3.84,14.4612,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KBAF,2022-06-29,19.8,0.0,59.6088,3.49,16.261,True,False,False,False,0.35,Medium,Add water points & shade
KASN,2021-06-15,24.4,0.0,57.2688,5.588,0.0,True,False,False,True,0.55,Medium,Add water points & shade; Slower vehicle assumptions & staff guidance
KW99,2020-03-08,5.35,0.4589999999999999,45.3544,1.0,16.905,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KSSI,2023-09-22,25.56,0.0,66.1247,8.68,15.143,True,False,False,False,0.35,Medium,Add water points & shade
KRDG,2022-11-23,4.95,0.0,50.2425,2.49,15.2694,False,False,False,False,0.0,Low,Normal operations
KRDM,2022-11-12,2.02,1.27,83.3238,5.211,10.2128,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KSTF,2023-09-27,25.7,0.0,73.526,3.09,16.0956,True,False,False,False,0.35,Medium,Add water points & shade
KSUN,2023-09-18,17.0,0.0,39.6653,8.28,16.744,False,False,False,False,0.0,Low,Normal operations
KSYR,2023-09-14,15.73,0.0,65.0339,7.88,16.905,False,False,False,False,0.0,Low,Normal operations
KSYR,2023-09-24,15.5,1.02,70.519,5.112,14.991,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KTBR,2023-09-04,26.18,0.0,68.2255,2.09,16.583,True,False,False,False,0.35,Medium,Add water points & shade
KTBR,2023-09-08,27.45,0.0,59.4722,6.369,16.905,True,False,False,False,0.35,Medium,Add water points & shade
KGYH,2022-04-30,19.66,0.0,61.0776,6.372,15.778,False,False,False,False,0.0,Low,Normal operations
K3J7,2023-07-22,27.82,1.793,63.9646,5.823,0.0,True,True,False,True,0.8499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity; Slower vehicle assumptions & staff guidance
KMMH,2024-10-01,15.83,0.0,19.8656,4.79,16.261,False,False,False,False,0.0,Low,Normal operations
KHDN,2022-04-15,5.99,0.0,48.7377,8.58,15.939,False,False,False,False,0.0,Low,Normal operations
KMOT,2024-10-31,1.73,0.0,56.4003,3.69,16.1,False,False,False,False,0.0,Low,Normal operations
KASN,2023-06-21,24.24,1.133,87.7,3.949,14.687,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KALI,2021-01-14,15.33,0.0,52.22,9.438,15.3076,False,False,False,False,0.0,Low,Normal operations
KASN,2021-01-05,6.46,0.0,72.8728,1.98,16.2448,False,False,False,False,0.0,Low,Normal operations
KCPW,2024-02-08,-2.81,1.958,59.02,9.342,16.261,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KBAB,2021-06-25,24.48,0.0,45.1094,5.929,15.295,True,False,False,False,0.35,Medium,Add water points & shade
KBCB,2022-06-12,22.56,0.0,76.7762,2.781,16.422,False,False,False,False,0.0,Low,Normal operations
KHEQ,2022-04-30,12.3,10.98,53.6313,20.295,15.778,False,True,True,False,0.44999999999999996,Medium,Covered waiting & shuttle capacity; Secure temporary structures
KADU,2023-07-05,23.1,8.22,80.92,5.88,13.6032,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KAHN,2023-07-15,28.23,0.0,71.3144,2.4,15.4618,True,False,False,False,0.35,Medium,Add water points & shade
KHUF,2020-04-14,3.85,0.0,47.174,6.48,15.295,False,False,False,False,0.0,Low,Normal operations
KAWG,2021-01-23,-10.9,0.0,78.948,5.709,16.1,False,False,False,False,0.0,Low,Normal operations
KAWG,2021-01-27,-9.4,0.0,87.9609,7.48,15.939,False,False,False,False,0.0,Low,Normal operations
KAVL,2023-06-22,17.1,6.424,87.2806,1.89,12.3088,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KAVL,2023-06-25,21.37,0.225,72.9708,3.289,16.1,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KBGF,2022-06-19,21.2,0.0,48.3173,4.311,16.422,False,False,False,False,0.0,Low,Normal operations
KBCB,2023-06-15,18.7,0.27,76.5576,1.701,15.6212,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KD95,2024-02-20,-1.54,0.055,67.259,3.59,15.456,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KDAA,2024-02-23,8.32,0.4589999999999999,80.1855,2.4,15.295,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KBFM,2021-06-23,27.69,22.617,86.48,2.961,14.943,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KNAK,2024-03-09,10.78,15.48,71.7509,12.947,16.1,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KMRB,2020-02-10,6.8,3.0,65.0034,6.468,15.456,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KTPL,2021-11-26,6.77,0.0,50.02,5.391,16.422,False,False,False,False,0.0,Low,Normal operations
